x,y,z
-4.284397125244140625e+00,1.883881950378417969e+01,-6.258740425109863281e-01
-4.235476493835449219e+00,1.862371253967285156e+01,-6.404533982276916504e-01
-4.292403697967529297e+00,1.887402343750000000e+01,-7.371497154235839844e-01
-4.285567283630371094e+00,1.884396362304687500e+01,-7.579672932624816895e-01
-4.342132091522216797e+00,1.890188598632812500e+01,-7.827485203742980957e-01
-4.274294376373291016e+00,1.879439735412597656e+01,-7.779092788696289062e-01
-4.364299774169921875e+00,1.899838447570800781e+01,-8.089315295219421387e-01
-4.278527259826660156e+00,1.881300926208496094e+01,-8.006390929222106934e-01
-4.328301429748535156e+00,1.884168052673339844e+01,-8.242651820182800293e-01
-4.260597705841064453e+00,1.873417091369628906e+01,-8.191534876823425293e-01
-4.337035655975341797e+00,1.887970161437988281e+01,-8.479810953140258789e-01
-4.273681640625000000e+00,1.879170227050781250e+01,-8.436077833175659180e-01
-4.292084693908691406e+00,1.868402481079101562e+01,-8.610183596611022949e-01
-4.240235328674316406e+00,1.864463806152343750e+01,-8.587749004364013672e-01
-4.311991691589355469e+00,1.877068138122558594e+01,-8.869413733482360840e-01
-4.259953975677490234e+00,1.873134040832519531e+01,-8.846411705017089844e-01
-4.320708751678466797e+00,1.880862808227539062e+01,-9.107106328010559082e-01
-4.306246280670166016e+00,1.893489074707031250e+01,-9.163672327995300293e-01
-4.331655502319335938e+00,1.885628128051757812e+01,-9.350522756576538086e-01
-4.324706554412841797e+00,1.882603073120117188e+01,-9.555535316467285156e-01
-4.339860439300537109e+00,1.889199829101562500e+01,-1.003066182136535645e+00
-4.258770465850830078e+00,1.872613716125488281e+01,-9.937641620635986328e-01
-4.280662536621093750e+00,1.882239723205566406e+01,-1.020866274833679199e+00
-4.330396175384521484e+00,1.885079956054687500e+01,-1.044957160949707031e+00
-4.271544933319091797e+00,1.878230667114257812e+01,-1.040641427040100098e+00
-4.323421478271484375e+00,1.882043647766113281e+01,-1.065281748771667480e+00
-4.329853534698486328e+00,1.884843635559082031e+01,-1.088909983634948730e+00
-4.334043979644775391e+00,1.886667823791503906e+01,-1.112031221389770508e+00
-4.347168445587158203e+00,1.892381095886230469e+01,-1.137535810470581055e+00
-4.346876621246337891e+00,1.892253875732421875e+01,-1.159597992897033691e+00
-4.337639808654785156e+00,1.888232994079589844e+01,-1.179228425025939941e+00
-4.303818225860595703e+00,1.873509979248046875e+01,-1.191959023475646973e+00
-4.350435256958007812e+00,1.893803024291992188e+01,-1.227035641670227051e+00
-4.345651626586914062e+00,1.891720771789550781e+01,-1.247831225395202637e+00
-4.345331192016601562e+00,1.891581344604492188e+01,-1.269885540008544922e+00
-4.353940963745117188e+00,1.895329284667968750e+01,-1.294595122337341309e+00
-4.349141597747802734e+00,1.893239974975585938e+01,-1.315340399742126465e+00
-4.348803997039794922e+00,1.893093109130859375e+01,-1.337412476539611816e+00
-4.343994140625000000e+00,1.890999221801757812e+01,-1.358086228370666504e+00
-4.343646049499511719e+00,1.890847587585449219e+01,-1.380132079124450684e+00
-4.341058731079101562e+00,1.889721488952636719e+01,-1.401455283164978027e+00
-4.336233615875244141e+00,1.887621116638183594e+01,-1.422021746635437012e+00
-4.335869312286376953e+00,1.887462425231933594e+01,-1.444028139114379883e+00
-4.317639350891113281e+00,1.879526519775390625e+01,-1.459993481636047363e+00
-4.332890987396240234e+00,1.886166000366210938e+01,-1.487269163131713867e+00
-4.283403873443603516e+00,1.864623451232910156e+01,-1.492152094841003418e+00
