x,y,z
-5.245655059814453125e+00,3.032965087890625000e+01,-7.871020436286926270e-01
-5.255720615386962891e+00,3.038784980773925781e+01,-8.236781954765319824e-01
-5.240225791931152344e+00,3.029825973510742188e+01,-8.562142848968505859e-01
-5.523931026458740234e+00,3.035857772827148438e+01,-8.943390250205993652e-01
-5.455917835235595703e+00,3.036071777343750000e+01,-8.940493464469909668e-01
-5.234945774078369141e+00,3.026773262023925781e+01,-8.902831077575683594e-01
-5.498694419860839844e+00,3.021988296508789062e+01,-9.251857995986938477e-01
-5.439823150634765625e+00,3.027115821838378906e+01,-9.263900518417358398e-01
-5.398219108581542969e+00,3.042073822021484375e+01,-9.306050539016723633e-01
-5.293889522552490234e+00,3.021584129333496094e+01,-9.239814877510070801e-01
-5.221142292022705078e+00,3.018792152404785156e+01,-9.227772355079650879e-01
-5.477031230926513672e+00,3.010082435607910156e+01,-9.563381671905517578e-01
-5.437865734100341797e+00,3.026026535034179688e+01,-9.610245823860168457e-01
-5.371835231781005859e+00,3.027205657958984375e+01,-9.610245823860168457e-01
-5.300604343414306641e+00,3.025416946411132812e+01,-9.600872993469238281e-01
-5.234587669372558594e+00,3.026566123962402344e+01,-9.600872993469238281e-01
-5.476832866668701172e+00,3.009973526000976562e+01,-9.911021590232849121e-01
-5.435901641845703125e+00,3.024933433532714844e+01,-9.956351518630981445e-01
-5.352431774139404297e+00,3.016271018981933594e+01,-9.923973083496093750e-01
-5.293513298034667969e+00,3.021369552612304688e+01,-9.936924576759338379e-01
-5.227584838867187500e+00,3.022517204284667969e+01,-9.936924576759338379e-01
-5.490941047668457031e+00,3.017727279663085938e+01,-1.028545975685119629e+00
-5.418020725250244141e+00,3.014983177185058594e+01,-1.027205467224121094e+00
-5.371439933776855469e+00,3.026982879638671875e+01,-1.030892014503479004e+00
-5.300214290618896484e+00,3.025194168090820312e+01,-1.029886603355407715e+00
-5.220575809478759766e+00,3.018464660644531250e+01,-1.027205467224121094e+00
-5.492517471313476562e+00,3.018593597412109375e+01,-1.063744783401489258e+00
-5.431951999664306641e+00,3.022735595703125000e+01,-1.064784288406372070e+00
-5.364246845245361328e+00,3.022929382324218750e+01,-1.064437747001647949e+00
-5.298284053802490234e+00,3.024092483520507812e+01,-1.064437747001647949e+00
-5.227186679840087891e+00,3.022286796569824219e+01,-1.063398241996765137e+00
-5.549085140228271484e+00,3.012353134155273438e+01,-1.096817731857299805e+00
-5.456517219543457031e+00,2.998808288574218750e+01,-1.091449856758117676e+00
-5.417593955993652344e+00,3.014745712280273438e+01,-1.096817731857299805e+00
-5.365778446197509766e+00,3.023792457580566406e+01,-1.099680542945861816e+00
-5.311869144439697266e+00,3.031846427917480469e+01,-1.102185487747192383e+00
-5.257634162902832031e+00,3.039891242980957031e+01,-1.104690432548522949e+00
-5.541614055633544922e+00,3.008297538757324219e+01,-1.130144834518432617e+00
-5.463447570800781250e+00,3.002617073059082031e+01,-1.127560377120971680e+00
-5.424439907073974609e+00,3.018555259704589844e+01,-1.133098602294921875e+00
-5.318413734436035156e+00,2.997100830078125000e+01,-1.124606728553771973e+00
-5.278882980346679688e+00,3.013018798828125000e+01,-1.130144834518432617e+00
-5.245494842529296875e+00,3.032872581481933594e+01,-1.137159824371337891e+00
-5.494309425354003906e+00,2.982617950439453125e+01,-1.155007362365722656e+00
-5.475736618041992188e+00,3.009370994567871094e+01,-1.164902091026306152e+00
-5.424208641052246094e+00,3.018426704406738281e+01,-1.167946577072143555e+00
-5.247617244720458984e+00,2.995173263549804688e+01,-1.158051848411560059e+00
-5.252083301544189453e+00,3.036681938171386719e+01,-1.173654913902282715e+00
-5.443297863006591797e+00,2.991543197631835938e+01,-1.192603111267089844e+00
