x,y,z
-4.267747998237609863e-01,2.608022689819335938e+01,2.243209838867187500e+00
-3.708645999431610107e-01,2.615083312988281250e+01,2.249207735061645508e+00
-4.279574751853942871e-01,2.615250015258789062e+01,2.219488620758056641e+00
-3.704766929149627686e-01,2.612348175048828125e+01,2.216952085494995117e+00
-4.854283332824707031e-01,2.617393493652343750e+01,2.191434860229492188e+00
-4.286506474018096924e-01,2.619485855102539062e+01,2.193103313446044922e+00
-3.712187409400939941e-01,2.617580413818359375e+01,2.191434860229492188e+00
-4.863981902599334717e-01,2.622622871398925781e+01,2.165801763534545898e+00
-4.267343878746032715e-01,2.607775688171386719e+01,2.153458595275878906e+00
-3.704058527946472168e-01,2.611848640441894531e+01,2.156750202178955078e+00
-4.264479875564575195e-01,2.606025505065917969e+01,2.122198581695556641e+00
-3.700163662433624268e-01,2.609102249145507812e+01,2.124633312225341797e+00
-4.839004874229431152e-01,2.609155654907226562e+01,2.094982147216796875e+00
-4.263240694999694824e-01,2.605268287658691406e+01,2.091781139373779297e+00
-3.700503706932067871e-01,2.609341812133789062e+01,2.094982147216796875e+00
-4.872716665267944336e-01,2.627332687377929688e+01,2.079528331756591797e+00
-4.275044500827789307e-01,2.612481498718261719e+01,2.067694902420043945e+00
-5.438121557235717773e-01,2.623467636108398438e+01,2.046557664871215820e+00
-4.865756928920745850e-01,2.623580169677734375e+01,2.046557664871215820e+00
-4.281950891017913818e-01,2.616702079772949219e+01,2.041114807128906250e+00
-5.455130338668823242e-01,2.631673240661621094e+01,2.022869825363159180e+00
-4.866185188293457031e-01,2.623810958862304688e+01,2.016740083694458008e+00
-4.285590350627899170e-01,2.618926239013671875e+01,2.012908935546875000e+00
-3.705736398696899414e-01,2.613031768798828125e+01,2.008311510086059570e+00
-3.148812949657440186e-01,2.624073219299316406e+01,2.016740083694458008e+00
-6.029781699180603027e-01,2.631776046752929688e+01,1.992959022521972656e+00
-5.439071059226989746e-01,2.623925971984863281e+01,1.986919760704040527e+00
-4.861059784889221191e-01,2.621047401428222656e+01,1.984655022621154785e+00
-4.282698929309844971e-01,2.617159080505371094e+01,1.981635332107543945e+00
-3.701815605163574219e-01,2.610267066955566406e+01,1.976351022720336914e+00
-3.158657550811767578e-01,2.632277297973632812e+01,1.992959022521972656e+00
-2.576545178890228271e-01,2.624363136291503906e+01,1.986919760704040527e+00
-1.998662501573562622e-01,2.617433166503906250e+01,1.981635332107543945e+00
-6.012023091316223145e-01,2.624024963378906250e+01,1.957096815109252930e+00
-5.439535379409790039e-01,2.624149894714355469e+01,1.957096815109252930e+00
-4.848530590534210205e-01,2.614291763305664062e+01,1.949661016464233398e+00
-4.283064603805541992e-01,2.617382621765136719e+01,1.951891779899597168e+00
-3.712030351161956787e-01,2.617469787597656250e+01,1.951891779899597168e+00
-3.137389123439788818e-01,2.614553070068359375e+01,1.949661016464233398e+00
-2.576765120029449463e-01,2.624587249755859375e+01,1.957096815109252930e+00
-2.002640515565872192e-01,2.622642707824707031e+01,1.955609679222106934e+00
-1.436991095542907715e-01,2.634646797180175781e+01,1.964532613754272461e+00
-6.005675196647644043e-01,2.621254539489746094e+01,1.925074696540832520e+00
-5.411056876182556152e-01,2.610411071777343750e+01,1.917019963264465332e+00
-4.861883521080017090e-01,2.621491622924804688e+01,1.925074696540832520e+00
-4.283424615859985352e-01,2.617602729797363281e+01,1.922145724296569824e+00
-3.706685602664947510e-01,2.613701057434082031e+01,1.919216752052307129e+00
-3.147226274013519287e-01,2.622750854492187500e+01,1.925806879997253418e+00
-2.574044466018676758e-01,2.621816062927246094e+01,1.925074696540832520e+00
-1.999001204967498779e-01,2.617876815795898438e+01,1.922145724296569824e+00
-1.433848291635513306e-01,2.628884506225585938e+01,1.930200457572937012e+00
